page	line	mather token	marchant token	book	chapter	section																		
Darius on his deathbed sends for Cyrus																								
52	18	Ἰωνικαὶ	Ἰωνικαὶ	1	1	6																		
52	18	πόλεις	πόλεις	1	1	6																		
52	19	Τισσαφέρνους	Τισσαφέρνους	1	1	6																		
52	19	τὸ	τὸ	1	1	6																		
52	19	ἀρχαῖον	ἀρχαῖον	1	1	6																		
52	19	,																						
52	19	ἐκ	ἐκ	1	1	6																		
52	19	βασιλέως	βασιλέως	1	1	6																		
52	20	δεδομέναι	δεδομέναι	1	1	6																		
52	20	,	,	1	1	6																		
52	20	τότε	τότε	1	1	6																		
52	20	δὲ	δὲ	1	1	6																		
52	20	ἀφειστήκεσαν	ἀφειστήκεσαν	1	1	6																		
52	20	πρὸς	πρὸς	1	1	6																		
52	21	Κῦρον	Κῦρον	1	1	6																		
52	21	πᾶσαι	πᾶσαι	1	1	6																		
52	21	πλὴν	πλὴν	1	1	6																		
52	21	Μιλήτου	Μιλήτου	1	1	6																		
52	21	·	·	1	1	6																		
52	21	ἐν	ἐν	1	1	7																		
52	21	Μιλήτῳ	Μιλήτῳ	1	1	7																		
52	22	δὲ	δὲ	1	1	7																		
52	22	Τισσαφέρνης	Τισσαφέρνης	1	1	7																		
52	22	προαισθόμενος	προαισθόμενος	1	1	7																		
52	23	τὰ	τὰ	1	1	7																		
52	23	αὐτὰ	αὐτὰ	1	1	7																		
52	23	ταῦτα	ταῦτα	1	1	7																		
52	23	βουλευομένους	βουλευομένους	1	1	7																		
52	23	,																						
52	23	ἀποστῆναι	ἀποστῆναι	1	1	7																		
52	23	πρὸς	πρὸς	1	1	7																		
52	23	Κῦρον	Κῦρον	1	1	7																		
52	23	,	,	1	1	7																		
52	24	τοὺς	τοὺς	1	1	7																		
52	24	μὲν	μὲν	1	1	7																		
52	24	αὐτῶν	αὐτῶν	1	1	7																		
52	24	ἀπέκτεινε	ἀπέκτεινε	1	1	7																		
52	24	,																						
52	24	τοὺς	τοὺς	1	1	7																		
52	24	δ'	δ'	1	1	7																		
52	24	ἐξέβαλεν	ἐξέβαλεν	1	1	7																		
52	24	.	.	1	1	7																		
52	24	ὁ	ὁ	1	1	7																		
52	24	δὲ	δὲ	1	1	7																		
52	24	Κῦρος	Κῦρος	1	1	7																		
52	25	ὑπολαβὼν	ὑπολαβὼν	1	1	7																		
52	25	τοὺς	τοὺς	1	1	7																		
52	25	φεύγοντας	φεύγοντας	1	1	7																		
52	25	,																						
52	25	συλλέξας	συλλέξας	1	1	7																		
52	25	στράτευμα	στράτευμα	1	1	7																		
52	25	ἐπολιόρκει	ἐπολιόρκει	1	1	7																		
52	26	Μίλητον	Μίλητον	1	1	7																		
52	26	καὶ	καὶ	1	1	7																		
52	26	κατὰ	κατὰ	1	1	7																		
52	26	γῆν	γῆν	1	1	7																		
52	26	καὶ	καὶ	1	1	7																		
52	26	κατὰ	κατὰ	1	1	7																		
52	26	θάλατταν	θάλατταν	1	1	7																		
52	26	,																						
52	26	καὶ	καὶ	1	1	7																		
53	1	ἐπειρᾶτο	ἐπειρᾶτο	1	1	7																		
53	1	κατάγειν	κατάγειν	1	1	7																		
53	1	τοὺς	τοὺς	1	1	7																		
53	1	ἐκπεπτωκότας	ἐκπεπτωκότας	1	1	7																		
53	1	.	.	1	1	7																		
53	1	καὶ	καὶ	1	1	7																		
53	1	αὕτη	αὕτη	1	1	7																		
53	1	αὖ	αὖ	1	1	7																		
53	2	ἄλλη	ἄλλη	1	1	7																		
53	2	πρόφασις	πρόφασις	1	1	7																		
53	2	ἦν	ἦν	1	1	7																		
53	2	αὐτῷ	αὐτῷ	1	1	7																		
53	2	τοῦ	τοῦ	1	1	7																		
53	2	ἁθροίζειν	ἁθροίζειν	1	1	7																		
53	2	στράτευμα	στράτευμα	1	1	7																		
53	2	.	.	1	1	7																		
53	3	πρὸς	πρὸς	1	1	8																		
53	3	δὲ	δὲ	1	1	8																		
53	3	βασιλέα	βασιλέα	1	1	8																		
53	3	πέμπων	πέμπων	1	1	8																		
53	3	ἠξίου	ἠξίου	1	1	8																		
53	3	,																						
53	3	ἀδελφὸς	ἀδελφὸς	1	1	8																		
53	3	ὢν	ὢν	1	1	8																		
53	3	αὐτοῦ	αὐτοῦ	1	1	8																		
53	3	,																						
53	4	δοθῆναι	δοθῆναι	1	1	8																		
53	4	οἷ	οἷ	1	1	8																		
53	4	ταύτας	ταύτας	1	1	8																		
53	4	τὰς	τὰς	1	1	8																		
53	4	πόλεις	πόλεις	1	1	8																		
53	4	μᾶλλον	μᾶλλον	1	1	8																		
53	4	ἢ	ἢ	1	1	8																		
53	4	Τισσαφέρνην	Τισσαφέρνην	1	1	8																		
53	5	ἄρχειν	ἄρχειν	1	1	8																		
53	5	αὐτῶν	αὐτῶν	1	1	8																		
53	5	,	,	1	1	8																		
53	5	καὶ	καὶ	1	1	8																		
53	5	ἡ	ἡ	1	1	8																		
53	5	μήτηρ	μήτηρ	1	1	8																		
53	5	συνέπραττεν	συνέπραττεν	1	1	8																		
53	5	αὐτῷ	αὐτῷ	1	1	8																		
53	5	ταῦτα	ταῦτα	1	1	8																		
53	5	·	·	1	1	8																		
53	6	ὥστε	ὥστε	1	1	8																		
53	6	βασιλεὺς	βασιλεὺς	1	1	8																		
53	6	τὴν	τὴν	1	1	8																		
53	6	μὲν	μὲν	1	1	8																		
53	6	πρὸς	πρὸς	1	1	8																		
53	6	ἑαυτὸν	ἑαυτὸν	1	1	8																		
53	6	ἐπιβουλὴν	ἐπιβουλὴν	1	1	8																		
53	6	οὐκ	οὐκ	1	1	8																		
53	6	ᾐσθάνετο	ᾐσθάνετο	1	1	8																		
53	7	,	,	1	1	8																		
53	7	Τισσαφέρνει	Τισσαφέρνει	1	1	8																		
53	7	δὲ	δ'	1	1	8																		
53	7	ἐνόμιζε	ἐνόμιζε	1	1	8																		
53	7	πολεμοῦντα	πολεμοῦντα	1	1	8																		
53	7	αὐτὸν	αὐτὸν	1	1	8																		
53	7	ἀμφὶ	ἀμφὶ	1	1	8																		
53	7	τὰ	τὰ	1	1	8																		
53	8	στρατεύματα	στρατεύματα	1	1	8																		
53	8	δαπανᾶν	δαπανᾶν	1	1	8																		
53	8	·	·	1	1	8																		
53	8	ὥστε	ὥστε	1	1	8																		
53	8	οὐδὲν	οὐδὲν	1	1	8																		
53	8	ἤχθετο	ἤχθετο	1	1	8																		
53	8	αὐτῶν	αὐτῶν	1	1	8																		
53	8	πολεμούντων	πολεμούντων	1	1	8																		
53	9	.	.	1	1	8																		
53	9	καὶ	καὶ	1	1	8																		
53	9	γὰρ	γὰρ	1	1	8																		
53	9	ὁ	ὁ	1	1	8																		
53	9	Κῦρος	Κῦρος	1	1	8																		
53	9	ἀπέπεμπε	ἀπέπεμπε	1	1	8																		
53	9	τοὺς	τοὺς	1	1	8																		
53	9	γιγνομένους	γιγνομένους	1	1	8																		
53	10	δασμοὺς	δασμοὺς	1	1	8																		
53	10	βασιλεῖ	βασιλεῖ	1	1	8																		
53	10	ἐκ	ἐκ	1	1	8																		
53	10	τῶν	τῶν	1	1	8																		
53	10	πόλεων	πόλεων	1	1	8																		
53	10	ὧν	ὧν	1	1	8																		
53	10	Τισσαφέρνους	Τισσαφέρνους	1	1	8																		
53	11	ἐτύγχανεν	ἐτύγχανεν	1	1	8																		
53	11	ἔχων	ἔχων	1	1	8																		
53	11	.	.	1	1	8																		
Cyrus' preparations in the Chersonese																								
53	12	ἄλλο	ἄλλο	1	1	9																		
53	12	δὲ	δὲ	1	1	9																		
53	12	στράτευμα	στράτευμα	1	1	9																		
53	12	αὐτῷ	αὐτῷ	1	1	9																		
53	12	συνελέγετο	συνελέγετο	1	1	9																		
53	12	ἐν	ἐν	1	1	9																		
53	12	Χερρονήσῳ	Χερρονήσῳ	1	1	9																		
53	13	τῇ	τῇ	1	1	9																		
53	13	κατ'	κατ'	1	1	9																		
53	13	ἀντιπέρας	ἀντιπέρας	1	1	9																		
53	13	Ἀβύδου	Ἀβύδου	1	1	9																		
53	13	τόνδε	τόνδε	1	1	9																		
53	14	τὸν	τὸν	1	1	9																		
53	14	τρόπον	τρόπον	1	1	9																		
53	14	.	.	1	1	9																		
53	14	Κλέαρχος	Κλέαρχος	1	1	9																		
53	14	Λακεδαιμόνιος	Λακεδαιμόνιος	1	1	9																		
53	15	φυγὰς	φυγὰς	1	1	9																		
53	15	ἦν	ἦν	1	1	9																		
53	15	·	·	1	1	9																		
53	15	τούτῳ	τούτῳ	1	1	9																		
53	15	συγγενόμενος	συγγενόμενος	1	1	9																		
53	16	ὁ	ὁ	1	1	9																		
53	16	Κῦρος	Κῦρος	1	1	9																		
53	16	ἠγάσθη	ἠγάσθη	1	1	9																		
53	16	τε	τε	1	1	9																		
53	17	αὐτὸν	αὐτὸν	1	1	9																		
53	17	καὶ	καὶ	1	1	9																		
53	17	δίδωσιν	δίδωσιν	1	1	9																		
53	17	αὐτῷ	αὐτῷ	1	1	9																		
53	17	μυρίους	μυρίους	1	1	9																		
53	18	δαρεικούς	δαρεικούς	1	1	9																		
53	18	.	.	1	1	9																		
53	18	ὁ	ὁ	1	1	9																		
